,District code,State Name,District name,District_elecname,malepct,femalepct,literacyrate,scpct,stpct,hindupct,muslimpct,christianpct,buddhistpct,jainpct,sikhpct,urbanpct,ruralpct,primarypct,middlepct,secondarypct,higherpct,gradpct,nda_voteshare,upa_voteshare,mtp_voteshare,topparty
529,530,MAHARASHTRA,Kolhapur,Kolhapur,0.5110055441162167,0.4889944558837833,0.7290619894060915,0.1301498632224295,0.007793083644715262,0.8720085469534192,0.073931353474883,0.0040178008210008205,0.00767956458215568,0.039959226016711556,0.00040505665504214264,0.3246107482824761,0.675389251717524,0.1691603302415656,0.1324301294465396,0.18988319233513404,0.107426086365644,0.09116651377705297,1176329.0,772382.0,7911.0,0
530,531,MAHARASHTRA,Sangli,Sangli,0.5087368003676639,0.4912631996323361,0.7262094798172878,0.12511520500555784,0.006496127233807784,0.8647017532421284,0.08490250139698803,0.003223791282015121,0.013539356439415012,0.030988153328871004,0.0004464692256912566,0.2656766701067036,0.7343233298932964,0.18767187847964906,0.16985533538175612,0.1677275010746451,0.09056021378963887,0.0791660162073499,655737.0,533730.0,6544.0,0
531,532,ANDHRA PRADESH,Adilabad,Adilabad,0.4996269934872516,0.5003730065127484,0.5411228280350601,0.1782391101250201,0.18086493005535087,0.8754803940845727,0.10067345459480184,0.005625923168319143,0.00930601089507336,0.00022508070255822276,0.0005023275971194048,0.2693460060607988,0.7306539939392013,0.14475200535659008,0.11850109688967847,0.09503447127225743,0.060204018115503154,0.042153705872060944,124263.0,74195.0,90444.0,0
532,533,ANDHRA PRADESH,Nizamabad,Nizamabad,0.4901908216678719,0.5098091783321281,0.5447383428675576,0.14544307196036585,0.07562354610429442,0.8322803551865984,0.1534867040196603,0.007703026062825932,0.0007239347243697907,0.00021243780217023638,0.0009238300732753637,0.2153733593595984,0.7846266406404017,0.14804583599897275,0.11898079299215257,0.1392617856393793,0.07847255963566725,0.04983472157374432,335210.0,52345.0,292658.0,0
533,534,ANDHRA PRADESH,Karimnagar,Karimnagar,0.4980577390011146,0.5019422609988854,0.5843940143035361,0.18795191762027547,0.028267318880090375,0.9244942561030477,0.0648054998200605,0.006614730041742259,8.791746562546259e-05,8.262123275645882e-05,0.0005523970882370932,0.24718865851984073,0.7528113414801593,0.12576564364538306,0.13390135700603972,0.12851054908369577,0.08139124386812585,0.0711692581683677,316259.0,100678.0,228142.0,0
534,535,ANDHRA PRADESH,Medak,Medak,0.5021053061891914,0.4978946938108086,0.5397235607037644,0.177347815308009,0.055710173250940895,0.8694568402340958,0.11289696197657459,0.011308190979557497,0.0001826400922035758,0.00015066159230511577,0.0004315449110008677,0.24771394392826548,0.7522860560717345,0.15597736791810735,0.14924886929390555,0.1157271417149574,0.06252806250576733,0.03947887501014121,64766.0,102835.0,162797.0,2
535,536,ANDHRA PRADESH,Hyderabad,Hyderabad,0.5118969457992663,0.48810305420073374,0.7334309160066269,0.06287260769660512,0.012410091691702659,0.5188646732717558,0.4345079010773401,0.022194986309769703,0.0003215562103332646,0.004960283496939003,0.0029026280626770875,1.0,0.0,0.1490500104556437,0.17119149117965893,0.20274230173563684,0.12927148022684126,0.13943106807710845,654532.0,257576.0,949881.0,2
536,537,ANDHRA PRADESH,Rangareddy,Rangareddy,0.509937714530501,0.4900622854694991,0.6679631871749062,0.12310248887004292,0.04130030144951396,0.8418115969801053,0.11658451866912126,0.0271935138984519,0.00038533128200906935,0.000667580310232273,0.0015220680037026542,0.7232486316083422,0.2767513683916578,0.1400737926219597,0.14982968156311946,0.15215095180781557,0.1108870314530452,0.1371685946095358,276164.0,540415.0,573239.0,2
537,538,ANDHRA PRADESH,Mahbubnagar,Mahbubnagar,0.5058899173654857,0.4941100826345142,0.47881386459703706,0.17491959098234702,0.08987576695744515,0.906348537439169,0.08244996086876281,0.005266432899057199,7.155144252642716e-05,9.573089551811633e-05,0.00016234775580134162,0.15945505759815448,0.8405449424018455,0.16317136011898978,0.12086883998923749,0.08446188683872631,0.04628070716147569,0.026886292663072412,259266.0,119892.0,287636.0,2
538,539,ANDHRA PRADESH,Nalgonda,Nalgonda,0.5044047983136939,0.4955952016863061,0.5735536109887357,0.18269415149983848,0.11301249222872332,0.9313295740752789,0.0540717476938405,0.010039242618326196,6.907801487556355e-05,7.165769177963024e-05,0.00026857302879005414,0.1915083074911464,0.8084916925088536,0.14889281086353806,0.13527549543477174,0.10547534581539403,0.0685214838154434,0.056303620547804425,55737.0,475208.0,423943.0,1
539,540,ANDHRA PRADESH,Warangal,Warangal(Urban),0.5008520812076379,0.4991479187923621,0.5878941836418629,0.17539890951825668,0.15107317250929234,0.9320097273340135,0.05617899797755266,0.008932760458421398,7.202691130384082e-05,0.0001619893775963851,0.00041365653013628745,0.2753128739898394,0.7246871260101606,0.13443149805079338,0.13348921501682418,0.1264140121923844,0.08204473361626309,0.07314431650837565,36808.0,62393.0,149955.0,2
540,541,ANDHRA PRADESH,Khammam,Khammam,0.4972484869716913,0.5027515130283088,0.5827738196949277,0.1654754287062491,0.2736731286887326,0.9277717999406585,0.05679870735726772,0.011962307453071993,7.757286308210926e-05,0.00016408269195708827,0.00023414850377318695,0.23128557071069633,0.7687144292893037,0.1426406055790553,0.13584564459815437,0.0984177236056483,0.06378477018789172,0.06626982687850504,14056.0,356789.0,430257.0,2
541,542,ANDHRA PRADESH,Srikakulam,Srikakulam,0.49636752279038177,0.5036324772096182,0.5532067829917643,0.0945812866198022,0.0614543078834263,0.9866213559620497,0.003338741910256097,0.006984167149443198,2.8485665051492463e-05,5.919099231478954e-05,7.139913447971488e-05,0.1658666099313414,0.8341333900686586,0.13879369799778396,0.12719548311087153,0.10021279995091377,0.058457632649353414,0.04829455242484767,21969.0,35861.0,525078.0,2
542,543,ANDHRA PRADESH,Vizianagaram,Vizianagaram,0.4954104843986327,0.5045895156013673,0.5282157106455435,0.10566463948843109,0.10047285659811113,0.9806587746334572,0.007004982780785797,0.007614927698067882,4.862497941969073e-05,0.0003476259493600697,0.00016208326473230242,0.20954378437227322,0.7904562156277267,0.13206699278082892,0.11332188383305326,0.08211950144497858,0.050679443628229855,0.0455945098736535,11921.0,17679.0,1436651.0,2
543,544,ANDHRA PRADESH,Visakhapatnam,Visakhapatnam,0.4985119758615892,0.5014880241384109,0.598577258273864,0.07679272006710501,0.14415270257766474,0.9568196814003859,0.02012078062009668,0.018087726417049036,0.00019810799869202108,0.0005397860293773186,0.0005362900058709888,0.47884712978670957,0.5211528702132904,0.1334833454166829,0.1525347077184177,0.12731966246811383,0.07747361358246804,0.06806786535373986,7139.0,6888.0,6272382.0,2
544,545,ANDHRA PRADESH,East Godavari,East Godavari,0.49855266364213463,0.5014473363578653,0.6380264152466215,0.18339439566528581,0.041362583755376096,0.9668303876998915,0.015089742614704317,0.015099055234701305,8.012733455742549e-05,0.0008049595909897298,0.00014318153245370465,0.25305245039826485,0.7469475496017352,0.18789694366022355,0.15813243993621537,0.1034184098974822,0.0538959022624822,0.05215376201959779,59484.0,97413.0,969116.0,2
545,546,ANDHRA PRADESH,West Godavari,West Godavari,0.4990944803688932,0.5009055196311067,0.6737139716218021,0.20617348486118497,0.027704582665941235,0.9482405994870161,0.021880300718878445,0.027716774795616725,5.308656462870139e-05,0.00040081626308177416,7.315277805294737e-05,0.1978077902053793,0.8021922097946207,0.1891696830692134,0.15407925414058643,0.10923986129591337,0.05679695017298544,0.05461914130077574,6234.0,26611.0,2629245.0,2
546,547,ANDHRA PRADESH,Krishna,Krishna,0.5019205746316796,0.49807942536832045,0.6662503503122815,0.1928240549094855,0.02932307492056268,0.8907069954872252,0.06796899454066256,0.03223050083255892,0.00019103917786300874,0.001399035462449844,0.00030836335430263175,0.3840878825523222,0.6159121174476778,0.1532461713778219,0.1394544847804929,0.11760937317210118,0.0691636552292861,0.07263584750483588,12731.0,7911.0,4698076.0,2
547,548,ANDHRA PRADESH,Guntur,Guntur,0.49930735893537664,0.5006926410646234,0.6056780404651324,0.1958763561535599,0.050552056717390784,0.8628801879286299,0.11452361209399786,0.01836465511262399,6.608272452321723e-05,0.0006714659501089751,0.00015630712549764077,0.32414165598013883,0.6758583440198611,0.1805891389450243,0.1441102652545096,0.09681538725962745,0.052647367471493706,0.04738305774492566,32975.0,69379.0,3428312.0,2
548,549,ANDHRA PRADESH,Prakasam,Prakasam,0.5047211907290413,0.4952788092709587,0.5605486824228068,0.2318978833524457,0.04448780378684236,0.9272239045306948,0.06494698373602775,0.005526206729286217,2.8550841690586582e-05,6.0045069122470746e-05,7.829406071851578e-05,0.19684987242259155,0.8031501275774084,0.15887008844745842,0.1182715861778445,0.07983770473251128,0.045532055270925444,0.04283942341323387,19811.0,15711.0,1555745.0,2
549,550,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,Nellore,0.5037777238635869,0.4962222761364131,0.6182398381404508,0.2249283546764918,0.09650463952608301,0.8907326567364825,0.09730806594912803,0.008841402409334459,8.064633141862971e-05,0.0008806984309733203,0.00022877913264364411,0.27726522868592246,0.7227347713140775,0.16085382707527215,0.1321794654203315,0.09528752091210285,0.05741682581020582,0.05291100750339799,4114.0,40009.0,1846140.0,2
550,551,ANDHRA PRADESH,Y.S.R.,Kadapa,0.5036574547722803,0.4963425452277197,0.5955887123157265,0.16159549330799394,0.026326735864288568,0.8295773519160137,0.15754133001950757,0.00807675641958335,3.642710468005033e-05,0.00026054052966397904,0.00012732140397693782,0.33198317371588737,0.6680168262841126,0.18472532970340028,0.14996838199627696,0.09389186606446735,0.050844579825210304,0.04220450227312223,36936.0,34532.0,2460.0,0
551,552,ANDHRA PRADESH,Kurnool,Kurnool,0.5030826727664716,0.4969173272335285,0.5247762222080231,0.1820529754434665,0.020434625898891886,0.8211201138384635,0.16547258479971325,0.008181892865433828,6.29091717378449e-05,0.0005513803875846406,0.00018181984145408507,0.2814192797260814,0.7185807202739186,0.1800191963122536,0.12490978321756516,0.07271593042460338,0.0407822657747622,0.030898144516986435,15250.0,18340.0,1772294.0,2
